,chapter-3.txt,chapter-2.txt,chapter-0.txt,chapter-1.txt,chapter-5.txt,chapter-4.txt,chapter-6.txt,chapter-7.txt
Vesemir,1,1,0,1,0,0,0,1
Henselt,0,0,0,0,0,1,1,1
Witcher,0,1,1,1,1,1,0,1
Yennefer,1,1,0,1,1,1,1,1
Calanthe,1,1,0,1,0,1,1,1
Eskel,1,1,0,1,0,0,0,1
Geralt,1,1,1,1,1,1,1,1
Eist,0,0,0,1,0,0,1,1
Dandelion,0,0,1,1,1,0,1,1
Lambert,1,1,0,1,0,0,0,1
Rience,0,0,0,1,1,0,1,0
Nenneke,0,1,0,0,1,0,1,1
Ciri,1,1,1,1,1,1,1,1
Triss,1,1,0,0,1,1,1,1
Foltest,1,0,0,1,1,0,1,1
Pavetta,1,0,0,1,0,0,1,1
Vilgefortz,1,0,0,0,0,0,1,1
