,Source,Target,book,chapter
0,Aplegatt,King,2,1
1,King,Aplegatt,2,1
2,Aplegatt,Meve,2,1
3,Aplegatt,Demavend,2,1
4,Aplegatt,Emhyr,2,1
5,Meve,Demavend,2,1
6,Meve,Emhyr,2,1
7,Demavend,Emhyr,2,1
8,Emhyr,Vissegerd,2,1
9,Vissegerd,Forest,2,1
10,Aplegatt,Ciri,2,1
11,Ciri,Aplegatt,2,1
12,Aplegatt,Yennefer,2,1
13,Ciri,Yennefer,2,1
14,Yennefer,Aplegatt,2,1
15,Aplegatt,Foltest,2,1
16,Foltest,Demavend,2,1
17,Codringher,Geralt,2,1
18,Geralt,Codringher,2,1
19,Codringher,Dandelion,2,1
20,Rience,Calanthe,2,1
21,Rience,Codringher,2,1
22,Codringher,Rience,2,1
23,Rience,Geralt,2,1
24,Geralt,Rience,2,1
25,Rience,Yennefer,2,1
26,Yennefer,Codringher,2,1
27,Yennefer,Rience,2,1
28,Codringher,Emhyr,2,1
29,Codringher,Philippa,2,1
30,Emhyr,Philippa,2,1
31,Emhyr,Sabrina,2,1
32,Emhyr,Henselt,2,1
33,Philippa,Sabrina,2,1
34,Philippa,Henselt,2,1
35,Sabrina,Henselt,2,1
36,Sabrina,Rience,2,1
37,Henselt,Rience,2,1
38,Codringher,Foltest,2,1
39,Codringher,Ciri,2,1
40,Foltest,Ciri,2,1
41,Foltest,Codringher,2,1
42,Ciri,Codringher,2,1
43,Ciri,Geralt,2,1
44,Rience,King,2,1
45,Codringher,King,2,1
46,Codringher,Calanthe,2,1
47,King,Calanthe,2,1
48,Geralt,King,2,1
49,King,Rience,2,1
50,Calanthe,Roegner,2,1
51,Roegner,Pavetta,2,1
52,Pavetta,Geralt,2,1
53,Geralt,Roegner,2,1
54,Codringher,Roegner,2,1
55,Roegner,Calanthe,2,1
56,Roegner,Ciri,2,1
57,Ciri,Calanthe,2,1
58,Geralt,Calanthe,2,1
59,Geralt,Pavetta,2,1
60,Calanthe,Pavetta,2,1
61,Pavetta,Calanthe,2,1
62,Pavetta,Eist,2,1
63,Eist,Calanthe,2,1
64,Calanthe,Codringher,2,1
65,Pavetta,Codringher,2,1
66,Emhyr,King,2,1
67,Akerspaark,Emhyr,2,1
68,Akerspaark,Horm,2,1
69,Horm,Codringher,2,1
70,Horm,Akerspaark,2,1
71,Codringher,Akerspaark,2,1
72,Akerspaark,Geralt,2,1
73,Geralt,Akerspaark,2,1
74,Geralt,Ciri,2,1
75,Akerspaark,Pavetta,2,1
76,Akerspaark,Ciri,2,1
77,Pavetta,Ciri,2,1
78,Ithlinne,Aen,2,1
79,Ithlinne,Codringher,2,1
80,Ithlinne,Geralt,2,1
81,Aen,Codringher,2,1
82,Aen,Geralt,2,1
83,Geralt,Yennefer,2,1
84,Little,Aplegatt,2,1
85,Demavend,Aplegatt,2,1
86,Toruviel,Yaevinn,2,1
87,Yaevinn,Toruviel,2,1
88,Toruviel,Aplegatt,2,1
