,chapter-1.txt,chapter-2.txt,chapter-3.txt,chapter-4.txt,chapter-5.txt,chapter-6.txt,chapter-7.txt
Sabrina,1,0,1,1,0,0,0
Witcher,1,1,1,1,0,1,0
Codringher,1,0,1,1,1,0,0
Two,1,1,1,1,1,1,1
Ciri,1,1,1,1,1,1,1
Meve,1,0,0,1,1,0,0
Emhyr,1,1,0,1,1,0,1
Yennefer,1,1,1,1,1,1,1
Dandelion,1,1,1,1,1,1,0
Rience,1,0,1,1,1,0,0
Tissaia,0,1,1,1,1,1,0
Triss,0,0,1,1,1,1,0
Philippa,1,0,1,1,0,0,0
Demavend,1,1,0,1,1,0,0
Geralt,1,1,1,1,1,1,1
Esterad,0,0,1,1,1,0,0
King,1,1,1,1,1,0,0
Francesca,0,0,1,1,1,0,0
Vilgefortz,1,0,1,1,1,1,0
Henselt,1,0,1,1,1,0,0
Cirilla,1,0,1,1,1,1,0
Margarita,0,1,0,1,0,1,0
Calanthe,1,0,0,1,0,1,0
Little,1,1,0,0,0,1,1
Falka,0,1,1,1,0,1,1
Foltest,1,1,0,1,1,0,0
