,chapter-3.txt,chapter-2.txt,chapter-1.txt,chapter-5.txt,chapter-4.txt,chapter-6.txt,chapter-7.txt,chapter-9.txt,chapter-8.txt,chapter-10.txt,chapter-11.txt
Asse,0,1,0,0,0,0,0,1,1,1,0
Witcher,0,0,0,1,0,1,1,0,1,1,0
Ciri,1,1,1,1,1,1,1,1,1,1,1
Emhyr,1,1,1,1,1,1,1,1,1,1,1
Jan,1,0,1,0,0,0,0,1,0,1,0
Vysogota,0,1,1,1,1,0,0,1,1,1,1
Yennefer,1,1,1,1,0,0,1,1,1,1,1
Dandelion,1,1,0,1,0,1,1,1,0,0,1
Rience,1,0,0,0,0,0,0,0,1,1,1
Cahir,1,0,0,1,0,1,1,0,0,0,1
Triss,1,0,1,0,0,0,0,1,0,0,1
Vattier,1,0,0,0,0,1,0,0,1,1,1
Kelpie,1,1,1,0,1,0,0,1,0,1,1
Baron,0,1,0,0,1,0,1,0,1,0,0
Geralt,1,0,0,1,0,1,1,1,0,0,1
Crach,1,0,1,0,0,0,0,1,0,0,1
Vilgefortz,1,0,0,0,0,1,1,1,1,1,1
Milva,1,0,0,1,0,1,1,0,0,0,0
Cirilla,1,1,0,0,1,1,0,1,1,1,1
Calanthe,1,1,0,0,0,0,1,1,1,0,0
