,chapter-1.txt,chapter-2.txt,chapter-3.txt,chapter-4.txt,chapter-5.txt,chapter-6.txt,chapter-7.txt,chapter-8.txt,chapter-9.txt,chapter-10.txt,chapter-11.txt,chapter-12.txt
Witcher,0,1,1,1,0,1,1,0,1,0,0,1
Count,0,1,1,1,0,0,0,1,1,1,1,0
Ciri,1,1,1,1,1,1,1,1,1,1,1,1
Anna,0,1,1,0,1,0,1,0,0,0,1,0
Assire,0,1,0,1,0,0,0,1,1,1,1,0
Emhyr,0,1,1,1,1,1,0,0,1,1,1,0
Jan,0,1,1,1,0,1,1,0,0,0,1,0
Julia,0,0,1,0,0,1,0,1,0,1,1,0
Yennefer,0,1,1,1,1,0,1,1,1,1,1,1
Dandelion,0,1,1,1,0,0,0,0,0,0,1,1
Nenneke,0,0,0,0,0,1,1,1,1,1,0,1
Jarre,0,1,0,0,0,1,1,1,0,1,0,0
Cahir,0,1,1,1,0,0,1,0,1,0,1,1
Triss,0,1,0,1,0,1,0,1,1,1,1,1
Kelpie,1,0,0,0,1,0,1,0,1,0,1,1
Philippa,0,1,1,1,0,0,0,1,1,1,1,0
Geralt,0,1,1,1,1,1,1,1,1,1,1,1
King,1,1,1,1,1,1,1,1,0,1,0,1
Fringilla,0,1,1,1,0,0,0,0,1,1,1,0
Francesca,0,1,0,1,0,0,0,0,1,1,1,0
Vilgefortz,0,1,0,1,0,0,0,0,1,1,1,0
Milva,0,1,1,1,0,0,1,0,1,0,1,1
Cirilla,0,1,0,1,0,1,0,0,1,1,1,0
