,chapter-3.txt,chapter-2.txt,chapter-1.txt,chapter-5.txt,chapter-4.txt,chapter-6.txt,chapter-7.txt,chapter-9.txt,chapter-8.txt,chapter-12.txt,chapter-10.txt,chapter-11.txt
Witcher,1,1,0,0,1,1,1,1,0,1,0,0
Count,1,1,0,0,1,0,0,1,1,0,1,1
Ciri,1,1,1,1,1,1,1,1,1,1,1,1
Anna,1,1,0,1,0,0,1,0,0,0,0,1
Assire,0,1,0,0,1,0,0,1,1,0,1,1
Emhyr,1,1,0,1,1,1,0,1,0,0,1,1
Jan,1,1,0,0,1,1,1,0,0,0,0,1
Julia,1,0,0,0,0,1,0,0,1,0,1,1
Yennefer,1,1,0,1,1,0,1,1,1,1,1,1
Dandelion,1,1,0,0,1,0,0,0,0,1,0,1
Nenneke,0,0,0,0,0,1,1,1,1,1,1,0
Jarre,0,1,0,0,0,1,1,0,1,0,1,0
Cahir,1,1,0,0,1,0,1,1,0,1,0,1
Triss,0,1,0,0,1,1,0,1,1,1,1,1
Kelpie,0,0,1,1,0,0,1,1,0,1,0,1
Philippa,1,1,0,0,1,0,0,1,1,0,1,1
Geralt,1,1,0,1,1,1,1,1,1,1,1,1
King,1,1,1,1,1,1,1,0,1,1,1,0
Fringilla,1,1,0,0,1,0,0,1,0,0,1,1
Francesca,0,1,0,0,1,0,0,1,0,0,1,1
Vilgefortz,0,1,0,0,1,0,0,1,0,0,1,1
Milva,1,1,0,0,1,0,1,1,0,1,0,1
Cirilla,0,1,0,0,1,1,0,1,0,0,1,1
